JenisKelamin,StatusPernikahan,JumTanggungan,Wiraswasta,IncomeNasabah,IncomePasangan,JumlahPinjaman,JangkaWaktuPinjaman,riwayat_pinjaman,Pendidikan_Tinggi,Wilayah_Tempat_Tinggal,StatusPinjaman
Laki-laki,Belum Menikah,0,Tidak,4166,7210,184.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3748,1668,110.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3600,0,80.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,1800,1213,47.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2400,0,75.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3941,2336,134.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Ya,4695,0,96.0,360.0,memenuhi,Ya,perkotaan,Ya
Wanita,Belum Menikah,0,Tidak,3410,0,88.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,5649,0,44.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,5821,0,144.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Sudah Menikah,0,Tidak,2645,3440,120.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Wanita,Belum Menikah,0,Tidak,4000,2275,144.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,0,Tidak,1928,1644,100.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,3086,0,120.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,4230,0,112.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,4616,0,134.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Wanita,Sudah Menikah,1,Ya,11500,0,286.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,2708,1167,97.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2132,1591,96.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3366,2200,135.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,8080,2250,180.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3357,2859,144.0,360.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2500,3796,120.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,3029,0,99.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Ya,2609,3449,165.0,180.0,tidak memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,4945,0,128.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,0,Tidak,4166,0,116.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,5726,4595,258.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,3200,2254,126.0,180.0,tidak memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,10750,0,312.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Ya,7100,0,125.0,60.0,memenuhi,Ya,perkotaan,Ya
Wanita,Belum Menikah,0,Tidak,4300,0,136.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3208,3066,172.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Ya,1875,1875,97.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3500,0,81.0,300.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,4755,0,95.0,360.0,tidak memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Ya,5266,1774,187.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3750,0,113.0,480.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,3750,4750,176.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,1,Ya,1000,3022,110.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,3167,4000,180.0,300.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Ya,3333,2166,130.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,3846,0,111.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Ya,2395,0,128.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,2,Tidak,1378,1881,167.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,6000,2250,265.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,3988,0,50.0,240.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2366,2531,136.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3333,2000,99.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2500,2118,104.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,8566,0,210.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,5695,4167,175.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2958,2900,131.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,6250,5654,188.0,180.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3273,1820,81.0,360.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,4133,0,122.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3620,0,25.0,120.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,6782,0,128.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Wanita,Sudah Menikah,0,Tidak,2484,2302,137.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,1977,997,50.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4188,0,115.0,180.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,1759,3541,131.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,4288,3263,133.0,180.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,4843,3806,151.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,13650,0,128.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4652,3583,128.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3816,754,160.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,3052,1030,100.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,11417,1126,225.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,7333,0,120.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,3800,3600,216.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,2071,754,94.0,480.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,5316,0,136.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Sudah Menikah,0,Tidak,2929,2333,139.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3572,4114,152.0,360.0,tidak memenuhi,Ya,pedesaan,Tidak
Wanita,Belum Menikah,1,Ya,7451,0,128.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,5050,0,118.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,14583,0,185.0,180.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,0,Tidak,3167,2283,154.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,2214,1398,85.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,5568,2142,175.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,0,Tidak,10408,0,259.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,5667,2667,180.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,4166,0,44.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,2137,8980,137.0,360.0,tidak memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,2957,0,81.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4300,2014,194.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,3692,0,93.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,23803,0,370.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3865,1640,128.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Ya,10513,3850,160.0,180.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,6080,2569,182.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Ya,20166,0,650.0,480.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2014,1929,74.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2718,0,70.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Ya,3459,0,25.0,120.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,4895,0,102.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,4000,7750,290.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Wanita,Sudah Menikah,0,Tidak,4583,0,84.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Ya,3316,3500,88.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,14999,0,242.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,4200,1430,129.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,5042,2083,185.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,5417,0,168.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Ya,6950,0,175.0,180.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2698,2034,122.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,11757,0,187.0,180.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Sudah Menikah,0,Tidak,2330,4486,100.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,2,Tidak,14866,0,70.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,1538,1425,30.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,0,Tidak,10000,1666,225.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,4860,830,125.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,6277,0,118.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Ya,2577,3750,152.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,9166,0,244.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,2281,0,113.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,3254,0,50.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,39999,0,600.0,180.0,tidak memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,6000,0,160.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,9538,0,187.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2980,2083,120.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4583,5625,255.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,1863,1041,98.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,7933,0,275.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,3089,1280,121.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,4167,1447,158.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,9323,0,75.0,180.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3707,3166,182.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Sudah Menikah,0,Tidak,4583,0,112.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2439,3333,129.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2237,0,63.0,480.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,8000,0,200.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,1820,1769,95.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,51763,0,700.0,300.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,3522,0,81.0,180.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,5708,5625,187.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Ya,4344,736,87.0,360.0,memenuhi,Ya,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3497,1964,116.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,2045,1619,101.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,5516,11300,495.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,3750,0,116.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2333,1451,102.0,480.0,tidak memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,6400,7250,180.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,1916,5063,67.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,4600,0,73.0,180.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,33846,0,260.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Wanita,Sudah Menikah,0,Tidak,3625,0,108.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Ya,39147,4750,120.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Ya,2178,0,66.0,300.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,2383,2138,58.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Ya,674,5296,168.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,9328,0,188.0,180.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,4885,0,48.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,12000,0,164.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,6033,0,160.0,360.0,memenuhi,Ya,perkotaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,3858,0,76.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,4191,0,120.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,3125,2583,170.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Belum Menikah,0,Tidak,8333,3750,187.0,360.0,memenuhi,Tidak,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,1907,2365,120.0,360.0,memenuhi,Ya,perkotaan,Ya
Wanita,Sudah Menikah,0,Tidak,3416,2816,113.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Ya,11000,0,83.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,2600,2500,90.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,2,Tidak,4923,0,166.0,360.0,tidak memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,3992,0,128.0,180.0,memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,1,Tidak,3500,1083,135.0,360.0,memenuhi,Ya,perkotaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,3917,0,124.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,4408,0,120.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,3244,0,80.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3975,2531,55.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2479,0,59.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3418,0,127.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Wanita,Belum Menikah,0,Tidak,10000,0,214.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,3,Tidak,3430,1250,128.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,1,Ya,7787,0,240.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Ya,5703,0,130.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3173,3021,137.0,360.0,memenuhi,Tidak,perkotaan,Ya
Laki-laki,Sudah Menikah,3,Tidak,3850,983,100.0,360.0,memenuhi,Ya,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,150,1800,135.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Tidak,3727,1775,131.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,2,Tidak,5000,0,72.0,360.0,tidak memenuhi,Tidak,pedesaan,Tidak
Wanita,Sudah Menikah,2,Tidak,4283,2383,127.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,2221,0,60.0,360.0,tidak memenuhi,Tidak,perkotaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,4009,1717,116.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,2971,2791,144.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,7578,1010,175.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,6250,0,128.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3250,0,170.0,360.0,memenuhi,Tidak,pedesaan,Tidak
Laki-laki,Sudah Menikah,0,Ya,4735,0,138.0,360.0,memenuhi,Ya,perkotaan,Tidak
Laki-laki,Sudah Menikah,2,Tidak,6250,1695,210.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,4758,0,158.0,480.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Ya,6400,0,200.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,2491,2054,104.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,3716,0,42.0,180.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Belum Menikah,0,Tidak,3189,2598,120.0,360.0,memenuhi,Ya,pedesaan,Ya
Wanita,Belum Menikah,0,Tidak,8333,0,280.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,3155,1779,140.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,5500,1260,170.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,0,Tidak,5746,0,255.0,360.0,memenuhi,Tidak,perkotaan,Tidak
Wanita,Belum Menikah,0,Ya,3463,0,122.0,360.0,memenuhi,Tidak,perkotaan,Ya
Wanita,Belum Menikah,1,Tidak,3812,0,112.0,360.0,memenuhi,Tidak,pedesaan,Ya
Laki-laki,Sudah Menikah,1,Tidak,3315,0,96.0,360.0,memenuhi,Tidak,pedesaan,Ya
